dbid;expid;resid;ppid;Handedness;grpid;sesid;sesdate;sestime;sesrepexp;sesrepgrp;sesstat;expstat;expver;trialnum;id;type;stimulus_soundfile;feedback_soundfile;expected_value;value;rt;correct
01;conceptformation;JD;test1;right;GRP2;2;2015-07-13;07:19;0;0;2;0;1;1;9;WORD;neg5.wav;nottarget.wav;0;1;1630;0
01;conceptformation;JD;test1;right;GRP2;2;2015-07-13;07:19;0;0;2;0;1;2;15;WORD;neg8.wav;nottarget.wav;0;0;1006;1
01;conceptformation;JD;test1;right;GRP2;2;2015-07-13;07:19;0;0;2;0;1;3;17;WORD;neg9.wav;nottarget.wav;0;1;317;0
01;conceptformation;JD;test1;right;GRP2;2;2015-07-13;07:19;0;0;2;0;1;4;20;WORD;pos10.wav;target.wav;1;1;365;1
01;conceptformation;JD;test1;right;GRP2;2;2015-07-13;07:19;0;0;2;0;1;5;40;WORD;pos20.wav;target.wav;1;1;533;1
01;conceptformation;JD;test1;right;GRP2;2;2015-07-13;07:19;0;0;2;0;1;6;11;WORD;neg6.wav;nottarget.wav;0;1;627;0
01;conceptformation;JD;test1;right;GRP2;2;2015-07-13;07:19;0;0;2;0;1;7;39;WORD;neg20.wav;nottarget.wav;0;1;848;0
01;conceptformation;JD;test1;right;GRP2;2;2015-07-13;07:19;0;0;2;0;1;8;1;WORD;neg1.wav;nottarget.wav;0;-9999;-9999;0
01;conceptformation;JD;test1;right;GRP2;2;2015-07-13;07:19;0;0;2;0;1;9;4;WORD;pos2.wav;target.wav;1;-9999;-9999;0
01;conceptformation;JD;test1;right;GRP2;2;2015-07-13;07:19;0;0;2;0;1;10;27;WORD;neg14.wav;nottarget.wav;0;-9999;-9999;0
01;conceptformation;JD;test1;right;GRP2;2;2015-07-13;07:19;0;0;2;0;1;11;23;WORD;neg12.wav;nottarget.wav;0;-9999;-9999;0
01;conceptformation;JD;test1;right;GRP2;2;2015-07-13;07:19;0;0;2;0;1;12;34;WORD;pos17.wav;target.wav;1;-9999;-9999;0
01;conceptformation;JD;test1;right;GRP2;2;2015-07-13;07:19;0;0;2;0;1;13;29;WORD;neg15.wav;nottarget.wav;0;-9999;-9999;0
01;conceptformation;JD;test1;right;GRP2;2;2015-07-13;07:19;0;0;2;0;1;14;7;WORD;neg4.wav;nottarget.wav;0;-9999;-9999;0
01;conceptformation;JD;test1;right;GRP2;2;2015-07-13;07:19;0;0;2;0;1;15;19;WORD;neg10.wav;nottarget.wav;0;-9999;-9999;0
01;conceptformation;JD;test1;right;GRP2;2;2015-07-13;07:19;0;0;2;0;1;16;16;WORD;pos8.wav;target.wav;1;-9999;-9999;0
01;conceptformation;JD;test1;right;GRP2;2;2015-07-13;07:19;0;0;2;0;1;17;35;WORD;neg18.wav;nottarget.wav;0;-9999;-9999;0
